# quantbench — 2026-06-02 22:56:47
# go go1.25.0, 4 cores, 6 images
# metric scale: MSE lower=better, PSNR higher=better, dE2000 lower=better

== N = 4 ==
quantizer             MSE     PSNR    meanDE     p95DE   image
kmeans[divisive/pca/oklab]/oklab/i10     309.90    23.22     7.264    16.879   liberty.jpg
kmeans[divisive/pca/oklab]/oklab/i10     114.17    27.56     6.995    13.932   monet.jpg
kmeans[divisive/pca/oklab]/oklab/i10     261.92    23.95     7.142    13.113   napoleon.jpg
kmeans[divisive/pca/oklab]/oklab/i10     242.64    24.28     6.331    17.920   pearl.jpg
kmeans[divisive/pca/oklab]/oklab/i10     329.20    22.96     8.798    20.018   starry.jpg
kmeans[divisive/pca/oklab]/oklab/i10*     272.07    24.06     7.383    15.972   [MEAN over 6, 1820ms]

== N = 16 ==
quantizer             MSE     PSNR    meanDE     p95DE   image
popularity        3870.20    12.25    18.743    32.897   athens.jpg
popularity        5042.29    11.10    20.054    71.014   liberty.jpg
popularity         194.99    25.23     7.597    17.977   monet.jpg
popularity        1587.96    16.12    14.238    31.874   napoleon.jpg
popularity        4121.10    11.98    15.330    59.522   pearl.jpg
popularity        6334.10    10.11    26.397    52.869   starry.jpg
popularity*       3525.11    14.47    17.060    44.359   [MEAN over 6, 1215ms]

median-cut         103.09    28.00     5.258    11.104   athens.jpg
median-cut         119.12    27.37     5.260    11.919   liberty.jpg
median-cut          44.89    31.61     3.922     8.255   monet.jpg
median-cut          80.48    29.07     4.604     9.590   napoleon.jpg
median-cut         119.25    27.37     4.377    12.677   pearl.jpg
median-cut         124.54    27.18     5.651    13.433   starry.jpg
median-cut*         98.56    28.43     4.845    11.163   [MEAN over 6, 1356ms]

divisive/axisaligned/rgb      94.42    28.38     5.041    11.298   athens.jpg
divisive/axisaligned/rgb      85.07    28.83     5.126    10.932   liberty.jpg
divisive/axisaligned/rgb      35.29    32.65     4.115     8.536   monet.jpg
divisive/axisaligned/rgb      66.41    29.91     4.663     9.221   napoleon.jpg
divisive/axisaligned/rgb      65.04    30.00     4.008     9.658   pearl.jpg
divisive/axisaligned/rgb     106.65    27.85     5.586    11.995   starry.jpg
divisive/axisaligned/rgb*      75.48    29.60     4.757    10.273   [MEAN over 6, 1569ms]

divisive/pca/rgb      90.23    28.58     4.813    10.831   athens.jpg
divisive/pca/rgb      75.52    29.35     4.858    11.106   liberty.jpg
